date,hour,air_temp_1m,air_temp_5m
5/26/22,1300,,6.086
5/26/22,1400,,4.567
5/26/22,1500,,2.939
5/26/22,1600,,2.515
5/26/22,1700,,1.992
5/26/22,1800,,2.195
5/26/22,1900,,1.842
5/26/22,2000,,1.633
5/26/22,2100,,1.588
5/26/22,2200,,1.393
5/26/22,2300,,0.505
5/26/22,2400,,-0.921
5/27/22,100,,-1.457
5/27/22,200,,-1.62
5/27/22,300,,-1.369
5/27/22,400,,-1.568
5/27/22,500,,-1.936
5/27/22,600,,-2.304
5/27/22,700,,-2.372
5/27/22,800,,-1.946
5/27/22,900,,-1.119
5/27/22,1000,,-0.158
5/27/22,1100,,1.843
5/27/22,1200,,4.305
5/27/22,1300,,5.475
5/27/22,1400,,6.246
5/27/22,1500,,7.184
5/27/22,1600,,7.912
5/27/22,1700,,8.05
5/27/22,1800,,8.6
5/27/22,1900,,9.31
5/27/22,2000,,9.53
5/27/22,2100,,8.41
5/27/22,2200,,7.293
5/27/22,2300,,6.357
5/27/22,2400,,5.055
5/28/22,100,,3.47
5/28/22,200,,1.884
5/28/22,300,,1.77
5/28/22,400,,1.488
5/28/22,500,,2.522
5/28/22,600,,3.475
5/28/22,700,,4.482
5/28/22,800,,4.112
5/28/22,900,,3.6
5/28/22,1000,,4.084
5/28/22,1100,,4.119
5/28/22,1200,,4.183
5/28/22,1300,,3.155
5/28/22,1400,,4.324
5/28/22,1500,,5.604
5/28/22,1600,,5.13
5/28/22,1700,,5.264
5/28/22,1800,,4.24
5/28/22,1900,,3.87
5/28/22,2000,,2.946
5/28/22,2100,,2.118
5/28/22,2200,,1.511
5/28/22,2300,,0.868
5/28/22,2400,,0.238
5/29/22,100,,-0.189
5/29/22,200,,-0.724
5/29/22,300,,-1.151
5/29/22,400,,-1.284
5/29/22,500,,-1.528
5/29/22,600,,-1.894
5/29/22,700,,-1.778
5/29/22,800,,-1.617
5/29/22,900,,-1.31
5/29/22,1000,,-0.744
5/29/22,1100,,-0.431
5/29/22,1200,,-0.443
5/29/22,1300,,-0.328
5/29/22,1400,,-0.338
5/29/22,1500,,0.086
5/29/22,1600,,1.05
5/29/22,1700,,1.795
5/29/22,1800,,2.542
5/29/22,1900,,2.967
5/29/22,2000,,2.91
5/29/22,2100,,1.764
5/29/22,2200,,1.495
5/29/22,2300,,1.498
5/29/22,2400,,1.011
5/30/22,100,,-0.268
5/30/22,200,,-1.03
5/30/22,300,,-1.541
5/30/22,400,,-2.005
5/30/22,500,,-2.256
5/30/22,600,,-2.059
5/30/22,700,,-1.459
5/30/22,800,,-0.491
5/30/22,900,,1.19
5/30/22,1000,,2.361
5/30/22,1100,,2.718
5/30/22,1200,,3.99
5/30/22,1300,,3.416
5/30/22,1400,,2.486
5/30/22,1500,,1.725
5/30/22,1600,,1.394
5/30/22,1700,,1.363
5/30/22,1800,,1.456
5/30/22,1900,,1.131
5/30/22,2000,,0.973
5/30/22,2100,,0.69
5/30/22,2200,,0.791
5/30/22,2300,,-0.215
5/30/22,2400,,-0.231
5/31/22,100,,-0.394
5/31/22,200,,-0.657
5/31/22,300,,-0.987
5/31/22,400,,-1.347
5/31/22,500,,-0.514
5/31/22,600,,1.314
5/31/22,700,,2.639
5/31/22,800,,3.438
5/31/22,900,,3.762
5/31/22,1000,,5.048
5/31/22,1100,,6.37
5/31/22,1200,,7.411
5/31/22,1300,,8.24
5/31/22,1400,,9.44
5/31/22,1500,,10.63
5/31/22,1600,,12.11
5/31/22,1700,,12.45
5/31/22,1800,,12.04
5/31/22,1900,,11.1
5/31/22,2000,,11.33
5/31/22,2100,,10.97
5/31/22,2200,,9.66
5/31/22,2300,,8.73
5/31/22,2400,,7.59
6/1/22,100,,6.082
6/1/22,200,,5.042
6/1/22,300,,4.804
6/1/22,400,,5.96
6/1/22,500,,8.83
6/1/22,600,,8.5
6/1/22,700,,9.53
6/1/22,800,,10.83
6/1/22,900,,8.49
6/1/22,1000,,6.781
6/1/22,1100,,7.393
6/1/22,1200,,8.09
6/1/22,1300,,8.39
6/1/22,1400,,6.86
6/1/22,1500,,7.627
6/1/22,1600,,7.231
6/1/22,1700,,4.669
6/1/22,1800,,5.464
6/1/22,1900,,5.48
6/1/22,2000,,5.142
6/1/22,2100,,5.364
6/1/22,2200,,6.401
6/1/22,2300,,5.022
6/1/22,2400,,2.799
6/2/22,100,,2.221
6/2/22,200,,2.819
6/2/22,300,,2.912
6/2/22,400,,2.903
6/2/22,500,,3.473
6/2/22,600,,4.238
6/2/22,700,,5.371
6/2/22,800,,6.55
6/2/22,900,,7.517
6/2/22,1000,,7.674
6/2/22,1100,,7.634
6/2/22,1200,,6.623
6/2/22,1300,,6.027
6/2/22,1400,,5.743
6/2/22,1500,,5.608
6/2/22,1600,,5.403
6/2/22,1700,,5.62
6/2/22,1800,,4.871
6/2/22,1900,,5.044
6/2/22,2000,,5.555
6/2/22,2100,,4.693
6/2/22,2200,,4.27
6/2/22,2300,,4.264
6/2/22,2400,,3.028
6/3/22,100,,2.41
6/3/22,200,,1.888
6/3/22,300,,0.915
6/3/22,400,,0.22
6/3/22,500,,1.751
6/3/22,600,,3.46
6/3/22,700,,4.21
6/3/22,800,,5.683
6/3/22,900,,6.442
6/3/22,1000,,7.16
6/3/22,1100,,7.841
6/3/22,1200,,8.46
6/3/22,1300,,9.79
6/3/22,1400,,10.71
6/3/22,1500,,10.83
6/3/22,1600,,9.71
6/3/22,1700,,9.16
6/3/22,1800,,8.82
6/3/22,1900,,8.61
6/3/22,2000,,8.15
6/3/22,2100,,7.861
6/3/22,2200,,7.047
6/3/22,2300,,4.887
6/3/22,2400,,2.653
6/4/22,100,,0.474
6/4/22,200,,-0.842
6/4/22,300,,-0.307
6/4/22,400,,0.225
6/4/22,500,,1.752
6/4/22,600,,2.914
6/4/22,700,,2.712
6/4/22,800,,3.241
6/4/22,900,,3.76
6/4/22,1000,,3.813
6/4/22,1100,,3.848
6/4/22,1200,,4.655
6/4/22,1300,,5.954
6/4/22,1400,,7.008
6/4/22,1500,,7.805
6/4/22,1600,,8.46
6/4/22,1700,,8.28
6/4/22,1800,,7.938
6/4/22,1900,,6.28
6/4/22,2000,,4.408
6/4/22,2100,,2.429
6/4/22,2200,,0.585
6/4/22,2300,,-1.188
6/4/22,2400,,-3.262
6/5/22,100,,-3.883
6/5/22,200,,-4.567
6/5/22,300,,-4.728
6/5/22,400,,-5.363
6/5/22,500,,-5.728
6/5/22,600,,-6.007
6/5/22,700,,-5.811
6/5/22,800,,-5.296
6/5/22,900,,-4.447
6/5/22,1000,,-3.318
6/5/22,1100,,-2.603
6/5/22,1200,,-1.459
6/5/22,1300,,-0.321
6/5/22,1400,,0.498
6/5/22,1500,,2.412
6/5/22,1600,,3.536
6/5/22,1700,,4.44
6/5/22,1800,,4.556
6/5/22,1900,,3.127
6/5/22,2000,,1.066
6/5/22,2100,,-1.079
6/5/22,2200,,-2.927
6/5/22,2300,,-3.494
6/5/22,2400,,-3.79
6/6/22,100,,-3.942
6/6/22,200,,-4.368
6/6/22,300,,-4.712
6/6/22,400,,-4.815
6/6/22,500,,-5.022
6/6/22,600,,-5.11
6/6/22,700,,-5.033
6/6/22,800,,-4.773
6/6/22,900,,-4.268
6/6/22,1000,,-3.508
6/6/22,1100,,-2.494
6/6/22,1200,,-1.301
6/6/22,1300,,-0.035
6/6/22,1400,,1.403
6/6/22,1500,,3.036
6/6/22,1600,,3.313
6/6/22,1700,,2.994
6/6/22,1800,,2.633
6/6/22,1900,,1.795
6/6/22,2000,,-0.464
6/6/22,2100,,-0.764
6/6/22,2200,,-1.252
6/6/22,2300,,-1.912
6/6/22,2400,,-3.369
6/7/22,100,,-4.49
6/7/22,200,,-4.983
6/7/22,300,,-5.366
6/7/22,400,,-5.185
6/7/22,500,,-4.94
6/7/22,600,,-5.055
6/7/22,700,,-5.131
6/7/22,800,,-4.833
6/7/22,900,,-4.259
6/7/22,1000,,-3.737
6/7/22,1100,,-2.637
6/7/22,1200,,-1.427
6/7/22,1300,,-0.619
6/7/22,1400,,0.299
6/7/22,1500,,1.124
6/7/22,1600,,0.89
6/7/22,1700,,0.186
6/7/22,1800,,0.032
6/7/22,1900,,-0.685
6/7/22,2000,,-1.195
6/7/22,2100,,-2.153
6/7/22,2200,,-2.642
6/7/22,2300,,-3.767
6/7/22,2400,,-4.132
6/8/22,100,,-4.908
6/8/22,200,,-5.533
6/8/22,300,,-6.143
6/8/22,400,,-6.754
6/8/22,500,,-6.681
6/8/22,600,,-6.153
6/8/22,700,,-5.509
6/8/22,800,,-5.33
6/8/22,900,,-4.605
6/8/22,1000,,-3.908
6/8/22,1100,,-3.255
6/8/22,1200,,-1.896
6/8/22,1300,,-1.163
6/8/22,1400,,-0.682
6/8/22,1500,,-0.354
6/8/22,1600,,0.596
6/8/22,1700,,0.265
6/8/22,1800,,-0.505
6/8/22,1900,,-0.196
6/8/22,2000,,-0.584
6/8/22,2100,,-1.531
6/8/22,2200,,-2.852
6/8/22,2300,,-3.653
6/8/22,2400,,-4.239
6/9/22,100,,-4.845
6/9/22,200,,-5.416
6/9/22,300,,-6.66
6/9/22,400,,-6.017
6/9/22,500,,-5.127
6/9/22,600,,-3.697
6/9/22,700,,-2.505
6/9/22,800,,-1.364
6/9/22,900,,-0.546
6/9/22,1000,,0.386
6/9/22,1100,,1.756
6/9/22,1200,,1.786
6/9/22,1300,,1.773
6/9/22,1400,,1.571
6/9/22,1500,,1.96
6/9/22,1600,,3.086
6/9/22,1700,,3.32
6/9/22,1800,,3.569
6/9/22,1900,,3.274
6/9/22,2000,,2.966
6/9/22,2100,,2.3
6/9/22,2200,,2.106
6/9/22,2300,,2.126
6/9/22,2400,,1.467
6/10/22,100,,-0.271
6/10/22,200,,-1.557
6/10/22,300,,-2.104
6/10/22,400,,-2.335
6/10/22,500,,-3.031
6/10/22,600,,-4.072
6/10/22,700,,-4.186
6/10/22,800,,-4.111
6/10/22,900,,-3.933
6/10/22,1000,,-3.629
6/10/22,1100,,-3.378
6/10/22,1200,,-3.013
6/10/22,1300,,-2.757
6/10/22,1400,,-2.573
6/10/22,1500,,-2.172
